nome,texto,#palavras,#unicas,#pontos_interrogacao,#pontos_exclamacao,#nomes,#adjectivos,#adverbios,#verbos,diversidade_lexical,densidade_lexical,sentimento
CAPÍTULO I,"E não tinha outro dote, pois não é dote uma série de antepassados, uns bispos, outros generais, e entre estes aquele que morrera queimado dentro de um caldeirão à mão dos mouros; glória, na verdade, um pouco ardente; mas de tal modo lembrada que os descendentes do general frito passaram a chamar-se “Caldeirões”.",64,52,0,0,15,1,4,6,26,40.625,"[{'label': 'NEGATIVE', 'score': 0.6082777976989746}]"
CAPÍTULO I,A dama do paço foi feliz com o marido.,10,10,0,0,3,1,0,0,4,40.0,"[{'label': 'POSITIVE', 'score': 0.3911537826061249}]"
CAPÍTULO I,"Molestavam-na, no entanto, saudades da corte, das pompas das câmaras reais, e dos luxos e dos hábitos que imolou dos caprichos da rainha.",28,20,0,0,9,1,0,1,11,39.285714285714285,"[{'label': 'NEGATIVE', 'score': 0.5638431310653687}]"
CAPÍTULO I,"Este desgostoso viver, porém, não impediu que se reproduzissem dois filhos e três meninas.",17,16,0,0,2,1,1,3,7,41.17647058823529,"[{'label': 'NEGATIVE', 'score': 0.4347473382949829}]"
CAPÍTULO I,"O mais velho era Manuel, o segundo Simão; das meninas uma era Maria, a segunda Ana, e a última tinha o nome da sua mãe, e alguns traços da beleza dela.",37,29,0,0,6,4,1,1,12,32.432432432432435,"[{'label': 'NEGATIVE', 'score': 0.5114569067955017}]"
CAPÍTULO I,"O juiz de fora de Cascais, solicitando lugar de mais graduado banco, morava em Lisboa, na freguesia da Ajuda, em 1784.",26,20,0,0,5,1,2,2,10,38.46153846153847,"[{'label': 'NEGATIVE', 'score': 0.6638361811637878}]"
CAPÍTULO I,"Neste ano nasceu Simão, o penúltimo dos seus filhos.",11,11,0,0,2,1,0,1,4,36.36363636363637,"[{'label': 'POSITIVE', 'score': 0.41563281416893005}]"
CAPÍTULO I,"Conseguiu então ele, sempre gracejado pela sorte, transferência para Vila Real, a sua ambição suprema.",19,17,0,0,3,1,2,2,8,42.10526315789473,"[{'label': 'POSITIVE', 'score': 0.5593255758285522}]"
CAPÍTULO I,À distância de uma légua de Vila Real estava toda a nobreza da vila à espera do seu conterrâneo.,20,19,0,0,6,0,0,0,6,30.0,"[{'label': 'NEGATIVE', 'score': 0.5046045184135437}]"
CAPÍTULO I,Cada família tinha a sua liteira com o brasão da respetiva casa.,13,13,0,0,4,1,0,1,6,46.15384615384615,"[{'label': 'NEUTRAL', 'score': 0.46676960587501526}]"
CAPÍTULO I,"A dos Correias de Mesquita era a mais antiquada no feitio, e as vestes dos criados as mais usadas e desgastadas que figuravam na comitiva.",27,23,0,0,4,1,2,4,11,40.74074074074074,"[{'label': 'NEGATIVE', 'score': 0.6664946675300598}]"
CAPÍTULO I,"D Rita, avistando a fila das liteiras, ajustou ao olho direito a sua grande luneta de ouro, e disse: — Ó Meneses, o que é aquilo? — São os nossos amigos e parentes que nos vêm esperar. — Em que século estamos nós nesta montanha? — disse a dama do paço. — Em que século?",65,46,3,0,12,2,0,6,20,30.76923076923077,"[{'label': 'NEGATIVE', 'score': 0.5410252213478088}]"
CAPÍTULO I,O século tanto é dezoito aqui como em Lisboa. — Ah! sim?,15,15,1,1,1,0,3,1,5,33.33333333333333,"[{'label': 'NEUTRAL', 'score': 0.41884294152259827}]"
CAPÍTULO I,Julgo que o tempo aqui parou no século doze...,10,10,0,0,2,0,1,2,5,50.0,"[{'label': 'NEUTRAL', 'score': 0.3785604238510132}]"
CAPÍTULO I,"Por alguma razão, o marido achou que devia rir-se do gracejo, apesar deste não lisonjear grandemente.",19,18,0,0,3,0,3,4,10,52.63157894736842,"[{'label': 'NEGATIVE', 'score': 0.4427861273288727}]"
CAPÍTULO I,"Fernão Botelho, pai do juiz de fora, pôs-se à frente da procissão para dar a mão à nora, que saia da liteira, para a conduzir até casa.",32,25,0,0,8,0,1,4,13,40.625,"[{'label': 'NEGATIVE', 'score': 0.564205527305603}]"
CAPÍTULO I,"D Rita, antes de ver a cara do seu sogro, contemplou-lhe a olho armado as fivelas de aço, e a bolsa do rabicho.",27,21,0,0,6,0,1,3,10,37.03703703703704,"[{'label': 'NEGATIVE', 'score': 0.6550240516662598}]"
CAPÍTULO I,Disse ela depois que os fidalgos de Vila Real andavam mais imundos que os carvoeiros de Lisboa.,18,15,0,0,2,1,2,2,7,38.88888888888889,"[{'label': 'NEGATIVE', 'score': 0.5978410840034485}]"
CAPÍTULO I,"Antes de entrar na antiga liteira do seu sogro, perguntou, com a mais refalsada seriedade, se não haveria risco em ir dentro daquela antiguidade.",28,26,0,0,5,1,4,5,15,53.57142857142857,"[{'label': 'NEGATIVE', 'score': 0.6586036682128906}]"
CAPÍTULO I,"Fernão Botelho assegurou a sua nora que a sua liteira não tinha ainda cem anos, e que os cavalos não excediam os trinta anos.",26,20,0,0,5,0,3,3,11,42.30769230769231,"[{'label': 'NEGATIVE', 'score': 0.49670669436454773}]"
CAPÍTULO I,"O modo altivo com que ela recebeu as cortesias da nobreza — a velha nobreza que para ali viera nos tempo de D Dinis, fundador da vila — fez com que o mais novo daquele grupo, que só tinha doze anos, me contasse a depois: Sabíamos que ela era dama de companhia de D Maria I porém, com soberba com que nos tratou julgar-se-ia que estávamos perante a própria rainha.",76,54,0,0,13,3,4,8,28,36.84210526315789,"[{'label': 'NEGATIVE', 'score': 0.5319185256958008}]"
CAPÍTULO I,"Repicaram os sinos da terra, quando a comitiva passou pela igreja da Senhora de Almodena.",17,16,0,0,4,0,1,1,6,35.294117647058826,"[{'label': 'POSITIVE', 'score': 0.4804847240447998}]"
CAPÍTULO I,D Rita disse ao marido que a receção dos sinos era a mais estrondosa e barata que já tinha visto.,21,19,0,0,3,2,2,2,9,42.857142857142854,"[{'label': 'NEGATIVE', 'score': 0.65862637758255}]"
CAPÍTULO I,Pararam à porta da velha casa de Fernão Botelho.,10,10,0,0,2,1,0,1,4,40.0,"[{'label': 'POSITIVE', 'score': 0.38885578513145447}]"
CAPÍTULO I,"A aia do paço passou os olhos pela fachada do edifício, e disse para si mesma: Que bonito chiqueiro para quem foi criada nos palácios de Mafra e Sintra, da Bemposta e de Queluz.",38,32,0,0,7,2,0,3,12,31.57894736842105,"[{'label': 'NEUTRAL', 'score': 0.4442826807498932}]"
CAPÍTULO I,"Decorridos alguns dias, D Rita disse ao marido que tinha medo de vir a ser devorada por ratazanas; que aquela casa era um covil de feras; que os tetos estavam prestes a desabar; que as paredes não resistiriam ao Inverno; que os preceitos da uniformidade conjugal obrigavam a morrer de frio uma esposa delicada e afeita às almofadas do palácio dos reis.",68,55,0,0,17,3,1,10,31,45.588235294117645,"[{'label': 'NEGATIVE', 'score': 0.8272968530654907}]"
CAPÍTULO I,Domingos Botelho conformou-se com a estremecida companheira e mandou construir um palacete.,13,13,0,0,2,1,0,3,6,46.15384615384615,"[{'label': 'POSITIVE', 'score': 0.44806450605392456}]"
CAPÍTULO I,"Escassamente lhe chegavam os recursos para os alicerces mas escreveu à rainha, e obteve um generoso subsídio com que acabou de construir a casa.",26,25,0,0,5,1,0,5,11,42.30769230769231,"[{'label': 'NEGATIVE', 'score': 0.45477554202079773}]"
CAPÍTULO I,As varandas das janelas foram a última dádiva que a real viúva fez à sua dama de companhia.,19,18,0,0,6,2,0,1,9,47.368421052631575,"[{'label': 'POSITIVE', 'score': 0.45070937275886536}]"
CAPÍTULO I,"Quer-nos parecer que a dádiva é um testemunho, até agora inédito, da demência da Senhora D Maria I Domingos Botelho mandara esculpir em Lisboa a pedra de armas; D Rita, porém, teimara que no escudo se esquartejassem também as suas; mas era tarde, porque já a obra tinha vindo do escultor, e o magistrado não podia com a segunda despesa, nem queria desgostar o seu pai, orgulhoso do seu brasão.",81,64,0,0,12,3,5,8,28,34.5679012345679,"[{'label': 'NEGATIVE', 'score': 0.7466214895248413}]"
CAPÍTULO I,Resultou daqui ficar a casa sem armas e D Rita vitoriosa.,12,12,0,0,2,1,1,2,6,50.0,"[{'label': 'NEUTRAL', 'score': 0.4046074450016022}]"
CAPÍTULO I,O juiz de fora tinha ali parentes ilustres.,9,9,0,0,2,1,2,1,6,66.66666666666666,"[{'label': 'POSITIVE', 'score': 0.41564589738845825}]"
CAPÍTULO I,"O aprumo da fidalga dobrou-se até aos grandes da província, ou antes houve por bem levantá-los até ela.",20,18,0,0,4,0,2,3,9,45.0,"[{'label': 'NEGATIVE', 'score': 0.6169944405555725}]"
CAPÍTULO I,"D Rita tinha uma corte de primos, uns que se contentavam poe serem primos, outros que invejavam a sorte do marido.",24,21,0,0,5,0,0,3,8,33.33333333333333,"[{'label': 'NEGATIVE', 'score': 0.696310818195343}]"
CAPÍTULO I,"O mais audacioso não ousava olha-la para o rosto, quando o ela remirava com a luneta em jeito de tanta altivez e zombaria, que não será incorreto dizer que a luneta de Rita Preciosa era a mais vigilante sentinela da sua virtude.",45,36,0,0,8,3,5,4,20,44.44444444444444,"[{'label': 'NEGATIVE', 'score': 0.677067756652832}]"
CAPÍTULO I,Domingos Botelho desconfiava da eficácia dos merecimentos próprios para cabalmente encher o coração da sua mulher.,17,16,0,0,4,1,1,2,8,47.05882352941176,"[{'label': 'NEGATIVE', 'score': 0.6389305591583252}]"
CAPÍTULO I,"Inquietava-o o ciúme; mas sufocava os suspiros, receando que Rita se desse por injuriada da suspeita.",19,19,0,0,4,0,0,4,8,42.10526315789473,"[{'label': 'NEGATIVE', 'score': 0.5605314373970032}]"
CAPÍTULO I,E razão era que se ofendesse.,7,7,0,0,1,0,0,2,3,42.857142857142854,"[{'label': 'NEUTRAL', 'score': 0.4645252525806427}]"
CAPÍTULO I,"A neta do general frito no caldeirão sarraceno ria dos primos, que, por amor dela, se eriçavam e empoavam as cabeleiras com desgracioso esmero, e cavaleavam estrepitosamente na calçada os seus cavalos, fingindo que os picadores da província não desconheciam as graças hípicas do marquês de Marialva.",53,44,0,0,14,3,2,6,25,47.16981132075472,"[{'label': 'NEGATIVE', 'score': 0.6474683880805969}]"
CAPÍTULO I,"Não pensava assim, porém, o juiz de fora.",11,10,0,0,1,0,3,1,5,45.45454545454545,"[{'label': 'NEUTRAL', 'score': 0.4347893297672272}]"
CAPÍTULO I,O intriguista que lhe trazia o espírito em ânsias era o espelho.,13,12,0,0,4,0,0,1,5,38.46153846153847,"[{'label': 'NEGATIVE', 'score': 0.43293845653533936}]"
CAPÍTULO I,"Via-se sinceramente feio, e via a Rita cada vez mais bela, e mais enfadada nos tratos íntimos.",20,17,0,0,2,3,2,3,10,50.0,"[{'label': 'NEGATIVE', 'score': 0.6630867719650269}]"
CAPÍTULO I,"Nenhum exemplo da história antiga, exemplo de amor sem quebra entre o esposo deforme e a esposa linda, lhe ocorria.",23,21,0,0,7,3,0,1,11,47.82608695652174,"[{'label': 'NEGATIVE', 'score': 0.6390563249588013}]"
CAPÍTULO I,"Um só lhe mortificava a memória, e esse, desde que fosse fábula, era-lhe avesso, e vinha a ser o casamento de Vénus e Vulcano.",29,23,0,0,3,1,1,2,7,24.137931034482758,"[{'label': 'NEGATIVE', 'score': 0.7489846348762512}]"
CAPÍTULO I,"Lembravam-lhe as redes que o ferreiro coxo fabricava para apanhar os deuses adúlteros, e assombrava-se da paciência daquele marido.",21,21,0,0,6,1,0,4,11,52.38095238095239,"[{'label': 'NEGATIVE', 'score': 0.6631123423576355}]"
CAPÍTULO I,"Entre si, dizia ele que, erguido o véu da perfídia, nem se queixaria a Júpiter, nem armaria ratoeiras aos primos.",25,21,0,0,4,1,0,3,8,32.0,"[{'label': 'NEGATIVE', 'score': 0.6021433472633362}]"
CAPÍTULO I,"A par do bacamarte de Luís Botelho, que passara em terra o alferes, estava uma fileira de armas em que o juiz de fora era entendido com muito superior inteligência à que revelava na compreensão do Digesto e das Ordenações do Reino.",45,36,0,0,9,1,2,3,15,33.33333333333333,"[{'label': 'NEGATIVE', 'score': 0.6918186545372009}]"
CAPÍTULO I,"Este viver de sobressaltos durou seis anos, ou talvez mais.",12,12,0,0,2,0,2,2,6,50.0,"[{'label': 'NEGATIVE', 'score': 0.39703452587127686}]"
CAPÍTULO I,"O juiz de fora suplicou os seus amigos a transferência, e conseguiu mais do que ambicionava: foi nomeado provedor de Lamego.",24,23,0,0,4,0,2,4,10,41.66666666666667,"[{'label': 'POSITIVE', 'score': 0.4292510747909546}]"
CAPÍTULO I,"Rita Preciosa deixou saudades em Vila Real, e duradoura memória da sua soberba, formosura e graças de espírito.",21,19,0,0,5,1,1,1,8,38.095238095238095,"[{'label': 'NEUTRAL', 'score': 0.5018582344055176}]"
CAPÍTULO I,O marido também deixou anedotas que ainda hoje se repetem.,11,11,0,0,2,0,3,2,7,63.63636363636363,"[{'label': 'NEUTRAL', 'score': 0.45717304944992065}]"
CAPÍTULO I,"Duas contarei somente para não enfadar: Acontecera um lavrador mandar-lhe de presente uma vitela, e com ela foi também a vaca, sua mãe, para que a vitela fosse lá ter sem luta.",37,32,0,0,8,0,4,3,15,40.54054054054054,"[{'label': 'NEUTRAL', 'score': 0.39067935943603516}]"
CAPÍTULO I,"Assim que viu as duas, Domingos Botelho mandou recolher a vitela e a vaca, dizendo que quem dava a filha dava a mãe e com essa o lavrador nunca mais viu a sua vaca.",37,27,0,0,6,0,3,7,16,43.24324324324324,"[{'label': 'NEGATIVE', 'score': 0.6458176374435425}]"
CAPÍTULO I,"Noutra ocasião, deu-se o caso de lhe mandarem de presente uns pastéis numa rica travessa de prata.",19,17,0,0,6,1,0,2,9,47.368421052631575,"[{'label': 'NEGATIVE', 'score': 0.39659395813941956}]"
CAPÍTULO I,"O juiz de fora repartiu os pastéis por alguns rapazes de rua, e mandou guardar a travessa, tomando-a como o presente e os doce como ornamentos.",29,24,0,0,8,0,1,4,13,44.827586206896555,"[{'label': 'NEGATIVE', 'score': 0.4519921839237213}]"
CAPÍTULO I,"É por isso que ainda hoje, em Vila Real, quando se dá um caso análogo de ficar alguém com o conteúdo e o continente, diz a gente da terra: Aquele é como o doutor Brocas.",40,36,0,0,6,1,3,4,14,35.0,"[{'label': 'NEUTRAL', 'score': 0.44374439120292664}]"
CAPÍTULO I,Não tenho assunto de tradição com que possa deter-me em miudezas da vida do provedor em Lamego.,18,17,0,0,5,0,1,3,9,50.0,"[{'label': 'NEGATIVE', 'score': 0.5163925290107727}]"
CAPÍTULO I,"Escassamente sei que D Rita aborrecia a comarca, e ameaçava o marido de voltar com os seus cinco filhos para Lisboa, se ele não saísse daquela intratável terra.",31,30,0,0,4,1,1,5,11,35.483870967741936,"[{'label': 'NEGATIVE', 'score': 0.7558304071426392}]"
CAPÍTULO I,"Parece que a fidalguia de Lamego, em todo o tempo orgulhosa de uma antiguidade que principia na aclamação de Almacave, desdenhou a postura presunçosa da dama do paço, e foi descobrir certas histórias vergonhosas da família dos Botelhos Correias de Mesquita, como o facto do provedor ter vivido dois anos em Coimbra a tocar flauta.",60,47,0,0,13,3,0,6,22,36.666666666666664,"[{'label': 'NEGATIVE', 'score': 0.6938155293464661}]"
CAPÍTULO I,"Em 1801, achamos Domingos José Correia Botelho de Mesquita corregedor em Viseu.",14,14,0,0,0,0,0,1,1,7.142857142857142,"[{'label': 'POSITIVE', 'score': 0.37949156761169434}]"
CAPÍTULO I,"Manuel, o mais velho dos seus filhos, tem vinte e dois anos, e frequenta o segundo ano jurídico.",22,18,0,0,3,3,1,2,9,40.909090909090914,"[{'label': 'POSITIVE', 'score': 0.4236341714859009}]"
CAPÍTULO I,"Simão, que tem quinze, estuda humanidades em Coimbra.",11,10,0,0,1,0,0,2,3,27.27272727272727,"[{'label': 'POSITIVE', 'score': 0.44982412457466125}]"
CAPÍTULO I,As três meninas são o prazer e a vida toda do coração da sua mãe.,16,16,0,0,5,0,0,0,5,31.25,"[{'label': 'POSITIVE', 'score': 0.41437509655952454}]"
CAPÍTULO I,"O filho mais velho escreveu ao pai queixando-se de não poder continuar a viver com o seu irmão, com medo do seu génio sanguinário.",26,24,0,0,5,2,2,5,14,53.84615384615385,"[{'label': 'NEGATIVE', 'score': 0.673500120639801}]"
CAPÍTULO I,"Conta que a cada passo que dá se vê ameaçado de vida, porque Simão gasta em pistolas o dinheiro que deviam ser para os livros, convive com os mais famosos perturbadores da academia, e corre de noite pelas ruas a insultar os habitantes, provocando-os à luta.",51,42,0,0,11,1,1,9,22,43.13725490196079,"[{'label': 'NEGATIVE', 'score': 0.7236959934234619}]"
CAPÍTULO I,"O corregedor admira a bravura do seu filho Simão, e diz à consternada mãe que o rapaz é a figura e o génio do seu bisavô Paulo Botelho Correia, o mais valente fidalgo que alguma vez houve em Trás-os-Montes.",42,34,0,0,10,2,1,3,16,38.095238095238095,"[{'label': 'NEGATIVE', 'score': 0.594784140586853}]"
CAPÍTULO I,"Manuel, cada vez mais envergonhado com os violentos actos de Simão, sai de Coimbra antes das férias e vai a Viseu pedir ao pai que lhe dê outro destino.",32,30,0,0,5,2,2,4,13,40.625,"[{'label': 'NEGATIVE', 'score': 0.7175639271736145}]"
CAPÍTULO I,D Rita quer que o seu filho seja cadete de cavalaria.,12,12,0,0,3,0,0,1,4,33.33333333333333,"[{'label': 'NEUTRAL', 'score': 0.45823901891708374}]"
CAPÍTULO I,"De Viseu parte então para Bragança Manuel Botelho, entrando para a nobre escola dos quatro costados para ser cadete.",21,19,0,0,2,2,1,2,7,33.33333333333333,"[{'label': 'NEGATIVE', 'score': 0.5942079424858093}]"
CAPÍTULO I,"No entanto, Simão volta a Viseu com os seus exames feitos e aprovados.",15,15,0,0,2,0,0,3,5,33.33333333333333,"[{'label': 'POSITIVE', 'score': 0.41027459502220154}]"
CAPÍTULO I,"O pai maravilha-se do talento do filho, e desculpa-o da extravagância por amor do talento.",17,14,0,0,6,0,0,2,8,47.05882352941176,"[{'label': 'NEUTRAL', 'score': 0.42764565348625183}]"
CAPÍTULO I,"Pede-lhe explicações pela zanga com Manuel, e ele responde apenas que o seu irmão o queria forçar a viver monasticamente.",22,21,0,0,3,0,1,4,8,36.36363636363637,"[{'label': 'NEGATIVE', 'score': 0.5163389444351196}]"
CAPÍTULO I,Os quinze anos de Simão têm aparência de vinte.,10,9,0,0,2,0,0,1,3,30.0,"[{'label': 'POSITIVE', 'score': 0.47117260098457336}]"
CAPÍTULO I,É forte de compleição; belo homem com as feições da sua mãe; mas de todo avesso em génio.,21,19,0,0,6,2,0,0,8,38.095238095238095,"[{'label': 'POSITIVE', 'score': 0.4173092544078827}]"
CAPÍTULO I,Na plebe de Viseu é que ele escolhe os amigos e companheiros.,13,13,0,0,3,0,0,2,5,38.46153846153847,"[{'label': 'POSITIVE', 'score': 0.4104614853858948}]"
CAPÍTULO I,"Se D Rita lhe censura a indigna eleição que faz, Simão goza com as genealogias, principalmente com o general Caldeirão que morreu frito.",26,23,0,0,5,1,1,3,10,38.46153846153847,"[{'label': 'NEGATIVE', 'score': 0.4797045588493347}]"
CAPÍTULO I,Bastou isso para ele ganhar o desgosto e a aversão da sua mãe.,14,14,0,0,3,0,0,2,5,35.714285714285715,"[{'label': 'NEUTRAL', 'score': 0.4133622944355011}]"
CAPÍTULO I,"O corregedor via as coisas pelos olhos da sua mulher, e tomou parte no desgosto dela, e na aversão ao filho.",24,22,0,0,8,0,0,2,10,41.66666666666667,"[{'label': 'NEGATIVE', 'score': 0.7345456480979919}]"
CAPÍTULO I,"As irmãs temiam-no, menos Rita, a mais nova, com quem ele brincava puerilmente, e a quem obedecia, se ela lhe pedia, com meiguices de criança, que não andasse com más companhias.",39,29,0,0,4,2,4,5,15,38.46153846153847,"[{'label': 'NEGATIVE', 'score': 0.7583243250846863}]"
CAPÍTULO I,"Estavam a terminar as férias, quando o corregedor teve um grande dissabor.",14,14,0,0,3,1,1,3,8,57.14285714285714,"[{'label': 'NEGATIVE', 'score': 0.6416489481925964}]"
CAPÍTULO I,"Um dos seus criados tinha ido levar os cavalos a beber, e por descuido ou propósito, deixou quebrar algumas vasilhas que estavam no parapeito do chafariz.",29,28,0,0,7,0,0,4,11,37.93103448275862,"[{'label': 'NEGATIVE', 'score': 0.7751575112342834}]"
CAPÍTULO I,Os donos das vasilhas partidas conjuraram contra o criado e espancaram-no.,12,12,0,0,2,1,0,2,5,41.66666666666667,"[{'label': 'NEGATIVE', 'score': 0.3808124363422394}]"
CAPÍTULO I,"Simão, que passava por ali nessa altura, armado de um pau que descravou de um carro, partiu muitas cabeças, e rematou o trágico espetáculo quebrando o resto dos cântaros que restavam.",36,28,0,0,7,1,1,7,16,44.44444444444444,"[{'label': 'NEGATIVE', 'score': 0.7504028677940369}]"
CAPÍTULO I,"O povoléu intacto fugiu espavorido e ninguém se atreveu a enfrentar ao filho do corregedor; os feridos, porém, juntaram-se e foram clamar justiça à porta do magistrado.",31,28,0,0,7,2,0,5,14,45.16129032258064,"[{'label': 'NEGATIVE', 'score': 0.693093478679657}]"
CAPÍTULO I,Domingos Botelho zangou-se com o filho e ordenou ao meirinho-geral que o prendesse por sua ordem.,17,16,0,0,3,0,0,3,6,35.294117647058826,"[{'label': 'NEGATIVE', 'score': 0.6161684393882751}]"
CAPÍTULO I,"D Rita, não menos irritada, mas mais irritada como uma mãe que protege as crias, mandou, por portas travessas, dinheiro ao filho para que ele, sem se deter, fugisse para Coimbra, e esperasse lá o perdão do pai.",47,37,0,0,7,3,4,5,19,40.42553191489361,"[{'label': 'NEGATIVE', 'score': 0.7452974319458008}]"
CAPÍTULO I,"O corregedor, quando soube da ação da sua esposa, fingiu-se zangado, e prometeu manda-lo capturar em Coimbra.",21,18,0,0,3,1,0,5,9,42.857142857142854,"[{'label': 'NEGATIVE', 'score': 0.5932549834251404}]"
CAPÍTULO I,"Como, porém, D Rita lhe chamasse “brutal nas suas vinganças”, e “estúpido juiz de uma rapaziada”, o magistrado desenrugou a severidade postiça da testa, e confessou tacitamente que era um juiz bruto e estúpido.",44,34,0,0,7,5,2,3,17,38.63636363636363,"[{'label': 'NEGATIVE', 'score': 0.7612443566322327}]"
CAPÍTULO II,Simão Botelho levou de Viseu para Coimbra arrogantes convicções da sua valentia.,13,13,0,0,2,1,0,1,4,30.76923076923077,"[{'label': 'NEGATIVE', 'score': 0.6471823453903198}]"
